DATA;Row Heading ;Column Heading
Филе индейки;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
500 г;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Перец сладкий (некрупный);Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
1 шт;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Лук репчатый (некрупный);Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
0,5 шт.;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Морковь (некрупная);Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
0,5 шт;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Укроп свежий;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
несколько веточек;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Травы итальянские сушёные;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
0,5 ч. Ложки;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Соль;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
по вкусу;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Перец чёрный молотый;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
по вкусу;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
Масло растительное;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Название
1 ст. ложка;Название блюда|Котлеты из индейки с овощами (на пару);Продукты|Мера
