DATA;Row Heading ;Column Heading
Яйца;Название блюда|Омлет с кабачком в банке;Продукты|Название
2 шт;Название блюда|Омлет с кабачком в банке;Продукты|Количество
Кабачок ;Название блюда|Омлет с кабачком в банке;Продукты|Название
20 г;Название блюда|Омлет с кабачком в банке;Продукты|Количество
Молоко ;Название блюда|Омлет с кабачком в банке;Продукты|Название
50 мл;Название блюда|Омлет с кабачком в банке;Продукты|Количество
Масло сливочное;Название блюда|Омлет с кабачком в банке;Продукты|Название
10 г;Название блюда|Омлет с кабачком в банке;Продукты|Количество
Соль ;Название блюда|Омлет с кабачком в банке;Продукты|Название
по вкусу;Название блюда|Омлет с кабачком в банке;Продукты|Количество
Перец чёрный молотый;Название блюда|Омлет с кабачком в банке;Продукты|Название
по вкусу;Название блюда|Омлет с кабачком в банке;Продукты|Количество
