DATA;Row Heading ;Column Heading
Наличие средств, реализующих функции проектирования, моделирования, создания и эксплуатации БД MySQL(БД с открытым кодом).;title|MySQL Workbench Community Edition;Преимущества
Отсутствие русскоязычной версии;title|MySQL Workbench Community Edition;Недостатки
"Создание визуальной модели в нотациях IE/IDEF1X; обратный инжиниринг: получение из файла DDL или БД физической модели; проверка синтаксиса модели; экспорт/импорт сущностей/атрибутов в другие форматы.";title|AllFusion ERwin Data ;Преимущества
Архаичный и неудобный пользовательский интерфейс;title|AllFusion ERwin Data ;Недостатки
"Гибкая настройка; богатая функциональность; изменение параметров проекта без перезапуска сравнения.";title|ApexSQLD;Преимущества
"Нет режима резервного копирования моментальных снимков; не поддерживает подписанные процедуры и сертификаты.";title|ApexSQLD;Недостатки
Интуитивно понятный и хорошо разработанный графический интерфейс упрощает администрирование и разработку БД.;title|Navicat;Преимущества
Ограничены возможности по обеспечению многопользовательской среды;title|Navicat;Недостатки
Приложение имеет встроенный дизайнер.;title|GetReport ;Преимущества
Неудобно обращаться с объектами.;title|GetReport ;Недостатки
Приложение имеет встроенный дизайнер.;title|DataExpress;Преимущества
Неудобно обращаться с объектами.;title|DataExpress;Недостатки
