ID Item
1 Наименование_Ду_25
1 Наработка(час)_59500
1 Повреждение_Трещина_(трещины)
2 Наименование_Ду_16
2 Наработка(час)_107,4
2 Повреждение_Коррозия
3 Наименование_Ду_24
3 Наработка(час)_40,3
3 Повреждение_Трещина_(трещины)
4 Наименование_Ду_24
4 Наработка(час)_22800
4 Повреждение_Трещина_(трещины)
5 Наименование_Ду_24
5 Наработка(час)_54808
5 Повреждение_Трещина_(трещины)
6 Наименование_Ду_25
6 Наработка(час)_33400
6 Повреждение_Коррозия
6 Повреждение_Трещина_(трещины)
7 Наименование_Ду_24
7 Наработка(час)_31,9
7 Повреждение_Трещина_(трещины)
9 Наименование_Ду*Ду=24*24
9 Наработка(час)_43378
9 Повреждение_Трещина_(трещины)
10 Наименование_Ду_22
10 Наработка(час)_129,4
10 Повреждение_Коррозия
10 Повреждение_Трещина_(трещины)
11 Наименование_Ду_6
11 Наработка(час)_14333
11 Повреждение_Трещина_(трещины)
12 Наименование
12 Наработка(час)_32000
12 Повреждение_Трещина_(трещины)
13 Наименование_Ду_6
13 Наработка(час)_43181
13 Повреждение_Трещина_(трещины)
14 Наименование_Ду_6
14 Наработка(час)_25458
14 Повреждение_Трещина_(трещины)
15 Наименование_Ду_6
15 Наработка(час)_5228
15 Повреждение_Трещина_(трещины)
16 Наименование_Ду*Ду=32*6
16 Наработка(час)_4104
16 Повреждение_Трещина_(трещины)
17 Наименование_Ду_16
17 Наработка(час)_121400
17 Повреждение_Коррозия
18 Наименование_Ду_15
18 Наработка(час)_65000
18 Повреждение_Коррозия
19 Наименование_Ду_16
19 Наработка(час)_90
19 Повреждение_Коррозия
20 Наименование_Ду_16
20 Наработка(час)_69120
20 Повреждение_Коррозия
21 Наименование_180_Ду_60
21 Наработка(час)_65,3
21 Повреждение_Коррозия
21 Повреждение_Трещина_(трещины)
22 Наименование_180_Ду_60
22 Наработка(час)_66,3
22 Повреждение_Коррозия
22 Повреждение_Трещина_(трещины)
23 Наименование_180_Ду_60
23 Наработка(час)_65,3
23 Повреждение_Коррозия
23 Повреждение_Трещина_(трещины)
25 Наименование_Ду_22
25 Наработка(час)_192,6
25 Повреждение_Коррозия
25 Повреждение_Трещина_(трещины)
27 Наименование_Ду_22
27 Наработка(час)_173,6
27 Повреждение_Коррозия
27 Повреждение_Трещина_(трещины)
28 Наименование_Ду_40
28 Наработка(час)_17500
28 Повреждение_Трещина_(трещины)
29 Наименование
29 Наработка(час)_32000
29 Повреждение_Трещина_(трещины)
30 Наименование_Ду*Ду=24*10
30 Наработка(час)_46000
30 Повреждение_Трещина_(трещины)
31 Наименование_Ду*Ду=24*10
31 Наработка(час)_46300
31 Повреждение_Трещина_(трещины)
32 Наименование_Ду*Ду=24*10
32 Наработка(час)_46250
32 Повреждение_Трещина_(трещины)
33 Наименование_Ду*Ду=24*10
33 Наработка(час)_47242
33 Повреждение_Трещина_(трещины)
34 Наименование_Ду_25
34 Наработка(час)_5950
34 Повреждение_Трещина_(трещины)
35 Наименование_Ду*Ду=24*10
35 Наработка(час)_26000
35 Повреждение_Трещина_(трещины)
37 Наименование_Ду_3
37 Наработка(час)_4222
37 Повреждение_Трещина_(трещины)
38 Наименование_Ду_16
38 Наработка(час)_121400
38 Повреждение_Коррозия
39 Наименование_180_Ду_25
39 Наработка(час)_5000
39 Повреждение_Трещина_(трещины)
40 Наименование_Ду*Ду=34*16
40 Наработка(час)_166,7
40 Повреждение_Трещина_(трещины)
41 Наименование_Ду_25
41 Наработка(час)_14500
41 Повреждение_Трещина_(трещины)
42 Наименование_Ду_34
42 Наработка(час)_132675
42 Повреждение_Трещина_(трещины)
43 Наименование_Ду_25
43 Наработка(час)_6327
43 Повреждение_Трещина_(трещины)
44 Наименование_180_Ду_60
44 Наработка(час)_59500
44 Повреждение_Питтинги
44 Повреждение_Трещина_(трещины)
466 Наименование_Ду_24
466 Наработка(час)_31,9
466 Повреждение_Трещина_(трещины)
468 Наименование_Ду_24
468 Наработка(час)_29000
468 Повреждение_Трещина_(трещины)
471 Наименование_180_Ду_60
471 Наработка(час)_67,6
471 Повреждение_Питтинги
471 Повреждение_Трещина_(трещины)
474 Наименование_Ду_22
474 Наработка(час)_96513
474 Повреждение_Трещина_(трещины)
475 Наименование_Ду_22
475 Наработка(час)_61513
475 Повреждение_Коррозия
475 Повреждение_Трещина_(трещины)
476 Наименование_Ду_22
476 Повреждение_Трещина_(трещины)
478 Наименование_Ду_15
478 Наработка(час)_20000
478 Повреждение_Трещина_(трещины)
479 Наименование_Ду_3
479 Наработка(час)_54275
479 Повреждение_Трещина_(трещины)
481 Наименование_Ду_6
481 Наработка(час)_40813
481 Повреждение_Трещина_(трещины)
482 Наименование_Ду_32
482 Наработка(час)_31500
482 Повреждение_Трещина_(трещины)
483 Наименование_90_Ду_60
483 Наработка(час)_14738
483 Повреждение_Трещина_(трещины)
484 Наименование_90_Ду_60
484 Наработка(час)_20681
484 Повреждение_Трещина_(трещины)
485 Наименование_Ду_25
485 Наработка(час)_12420
485 Повреждение_Трещина_(трещины)
486 Наименование_Ду_25
486 Наработка(час)_10000
486 Повреждение_Трещина_(трещины)
488 Наименование_90_Ду_60
488 Наработка(час)_4000
488 Повреждение_Трещина_(трещины)
490 Наименование_Ду_24
490 Наработка(час)_126000
490 Повреждение_Трещина_(трещины)
491 Наименование_Ду_40
491 Наработка(час)_16000
491 Повреждение_Трещина_(трещины)
493 Наименование_180_Ду_60
493 Наработка(час)_25000
493 Повреждение_Трещина_(трещины)
494 Наименование_Ду_25
494 Наработка(час)_12420
494 Повреждение_Трещина_(трещины)
495 Наименование_Ду_3
495 Наработка(час)_40000
495 Повреждение_Трещина_(трещины)
501 Наименование_Ду_15
501 Наработка(час)_20823
501 Повреждение_Трещина_(трещины)
505 Наименование_Ду*Ду=24*10
505 Наработка(час)_39888
505 Повреждение_Трещина_(трещины)
506 Наименование_Ду*Ду=24*10
506 Наработка(час)_42000
506 Повреждение_Трещина_(трещины)
507 Наименование_Ду*Ду=24*10
507 Наработка(час)_35000
507 Повреждение_Трещина_(трещины)
509 Наименование_Ду*Ду=24*10
509 Наработка(час)_40000
509 Повреждение_Трещина_(трещины)
510 Наименование_Ду*Ду=24*10
510 Наработка(час)_84
510 Повреждение_Трещина_(трещины)
512 Наименование_Ду*Ду=16*6
512 Наработка(час)_19000
512 Повреждение_Трещина_(трещины)
513 Наименование_Ду_6
513 Наработка(час)_115000
513 Повреждение_Трещина_(трещины)
514 Наименование_Ду_6
514 Наработка(час)_115056
514 Повреждение_Трещина_(трещины)
515 Наименование_Ду_6
515 Наработка(час)_100000
515 Повреждение_Трещина_(трещины)
516 Наименование_Ду_6
516 Наработка(час)_4000
516 Повреждение_Трещина_(трещины)
