DATA;Row Heading ;Column Heading
4x1.1 ƒƒö;processor brand|Intel Celeron N4120;number of cores|four cores
4x3.1 ƒƒö;processor brand|AMD A8 9600;number of cores|four cores
2x3.5 ƒƒö;processor brand|AMD Athlon 3000G;number of cores|two cores
4x1.1 ƒƒö;processor brand|Intel Pentium Silver N6000;number of cores|four cores
4x3.7 ƒƒö;processor brand|Intel Core i3-10105;number of cores|four cores
4x3.1 ƒƒö;processor brand|AMD A8 9600;number of cores|four cores
6x2.9 ƒƒö;processor brand|Intel Core i5-10400;number of cores|six cores
2x4.2 ƒƒö;processor brand|Intel Pentium Gold G6505;number of cores|two cores
4x3.7 ƒƒö;processor brand|Intel Core i3-10105F;number of cores|four cores
6x2.6 ƒƒö;processor brand|Intel Core i5-11400F;number of cores|six cores
