DATA;Row Heading ;Column Heading
Intel UHD Graphics 600;PCName|DEXP Atlas H337;Video card|Intel
AMD Radeon R7;PCName|DEXP Aquilon O238;Video card|Amd
AMD Radeon Vega 3;PCName|DEXP Aquilon O277;Video card|Amd
Intel UHD Graphics;PCName|MSI Cubi N JSL-068XRU;Video card|Intel
Intel UHD Graphics 630;PCName|DEXP Atlas H333;Video card|Intel
AMD Radeon R7;PCName|DEXP Aquilon O266;Video card|Amd
Intel UHD Graphics 630;PCName|Raskat Standart 500;Video card|Intel
Intel UHD Graphics;PCName|ASUS ExpertCenter D5 SFF D500SC;Video card|Intel
GeForce GTX 1050 Ti;PCName|ZET Gaming NEO M035;Video card|Nvidia
GeForce GTX 1650;PCName|ZET Gaming NEO M032;Video card|Nvidia
