DATA;Row Heading ;Column Heading
BGA1090;processor brand|Intel Celeron N4120;Socket|Intel type
AM4;processor brand|AMD A8 9600;Socket|Amd Type
AM4;processor brand|AMD Athlon 3000G;Socket|Amd Type
BGA1338;processor brand|Intel Pentium Silver N6000;Socket|Intel type
LGA1200;processor brand|Intel Core i3-10105;Socket|Intel type
AM4;processor brand|AMD A8 9600;Socket|Amd Type
LGA1200;processor brand|Intel Core i5-10400;Socket|Intel type
LGA1200;processor brand|Intel Pentium Gold G6505;Socket|Intel type
LGA1200;processor brand|Intel Core i3-10105F;Socket|Intel type
LGA1200;processor brand|Intel Core i5-11400F;Socket|Intel type
